Brief,Section,Brief proposed key,Brief proposed type,Action,Canonical key (store) / Notes,Notes
gutbasket-fermentation-kit-brief.docx,1.0 Accent,custom.theme_accent,color,✓ KEEP,custom.theme_accent,
gutbasket-fermentation-kit-brief.docx,1.0 Accent,custom.theme_accent_dark,color,✓ KEEP,custom.theme_accent_dark,
gutbasket-fermentation-kit-brief.docx,1.0 Accent,custom.theme_accent_soft,color,✓ KEEP,custom.theme_accent_soft,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.short_name,single_line,✓ KEEP,custom.short_name,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.product_name_short,single_line,✓ KEEP,custom.product_name_short,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.hero_tagline,multi_line,✓ KEEP,custom.hero_tagline,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.kit_label_format,single_line,✓ KEEP,custom.kit_label_format,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.discount_badge,single_line,✓ KEEP,custom.discount_badge,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.rating,number_decimal,✓ KEEP,custom.rating,Brief says 'single line text' — store has number_decimal. Use number_decimal.
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.review_count,number_integer,✓ KEEP,custom.review_count,
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.bought_today,number_integer,✓ KEEP,custom.bought_today,Brief says 'single line text' — store has number_integer. Use number_integer.
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.hero_gallery,list.file_ref (Image),🆕 CREATE,—,Truly new. Alternative: use product images natively.
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.hero_gallery_labels,list.single_line,🆕 CREATE,—,Truly new.
gutbasket-fermentation-kit-brief.docx,1.1 Hero,custom.hero_video,file_ref (Video),🆕 CREATE,—,Truly new. Note: store has `how_to_make_video` for tutorials — different purpose.
gutbasket-fermentation-kit-brief.docx,1.2 Variants,custom.pack_1_label,single_line,⚠️ DECISION,—,Recommend: use Shopify product variants for sizes/prices. Only create pack_*_sub / pack_*_save metafields if variant labels can't carry the copy.
gutbasket-fermentation-kit-brief.docx,1.2 Variants,custom.pack_1_sub,single_line,🆕 CREATE,—,"If variants are used, only sub/save are metafields."
gutbasket-fermentation-kit-brief.docx,1.2 Variants,custom.pack_1_save,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.2 Variants,custom.pack_2_label,single_line,⚠️ DECISION,—,See 1.2 above.
gutbasket-fermentation-kit-brief.docx,1.2 Variants,custom.pack_2_sub,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.2 Variants,custom.pack_2_save,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.2 Variants,custom.pack_3_label,single_line,⚠️ DECISION,—,See 1.2 above.
gutbasket-fermentation-kit-brief.docx,1.2 Variants,custom.pack_3_sub,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.2 Variants,custom.pack_3_save,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.2 Variants,custom.variant_help_note,multi_line,✏️ RENAME,custom.help_note,"Store has `help_note` (multi_line, 2 in use). Use it instead of creating duplicate."
gutbasket-fermentation-kit-brief.docx,1.3 Hero accordions,custom.hero_description,rich_text,🆕 CREATE,—,Alternative: use Shopify native `body_html`.
gutbasket-fermentation-kit-brief.docx,1.3 Hero accordions,custom.hero_whats_inside,multi_line,🔁 REUSE OBJ,custom.featured_components,"Reuse `featured_components` (→ kit_component metaobject). Same purpose, richer structure."
gutbasket-fermentation-kit-brief.docx,1.4 Trust row,custom.trust_row_cards,list.metaobject_ref → trust_row_card,🔁 REUSE OBJ,custom.featured_trust_cards → kit_trust_card,Brief proposed new metaobject. Use existing kit_trust_card (heading + description + icon — identical shape).
gutbasket-fermentation-kit-brief.docx,1.5 How-make,custom.how_make_h,single_line,🆕 CREATE,—,Truly new (section heading).
gutbasket-fermentation-kit-brief.docx,1.5 How-make,custom.how_make_video,file_ref (Video),✏️ RENAME,custom.how_to_make_video,Store has `how_to_make_video`. Brief used `how_make_video`.
gutbasket-fermentation-kit-brief.docx,1.5 How-make,custom.featured_steps,list.metaobject_ref,✓ KEEP,custom.featured_steps → kit_step,
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.myth_eyebrow,single_line,🆕 CREATE,—,Truly new.
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.myth_h1,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.myth_h2,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.myth_intro,multi_line,✏️ RENAME,custom.comparison_intro,Store has `comparison_intro` (multi_line). Same purpose.
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.myth_pill_text,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.fact_pill_text,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.compare_left_label,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.compare_right_label,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.featured_comparison_rows,list.metaobject_ref,✓ KEEP,custom.featured_comparison_rows → kit_comparison_row,
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.compare_summary_left,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.compare_summary_right,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.6 Myth+compare,custom.compare_summary_caption,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.9 Box,custom.box_image,file_ref (Image),✓ KEEP,custom.box_image,
gutbasket-fermentation-kit-brief.docx,1.9 Box,custom.featured_components,list.metaobject_ref,✓ KEEP,custom.featured_components → kit_component,
gutbasket-fermentation-kit-brief.docx,1.9 Box,custom.box_note,multi_line,✓ KEEP,custom.box_note,
gutbasket-fermentation-kit-brief.docx,1.10 Airlock spotlight,custom.airlock_spotlight_h,single_line,🆕 CREATE,—,Optional heading.
gutbasket-fermentation-kit-brief.docx,1.10 Airlock spotlight,custom.airlock_cards,list.metaobject_ref → airlock_card,🔁 REUSE OBJ,custom.featured_science_cards → kit_science_card,"kit_science_card has same shape (name, image, what_it_does, why_it_matters, chip)."
gutbasket-fermentation-kit-brief.docx,1.11 Timeline,custom.timeline_h,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.11 Timeline,custom.timeline_subtitle,multi_line,✓ KEEP,custom.timeline_subtitle,
gutbasket-fermentation-kit-brief.docx,1.11 Timeline,custom.featured_timeline_steps,list.metaobject_ref,✓ KEEP,custom.featured_timeline_steps → kit_timeline_step,
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.itk_intro,multi_line,✓ KEEP,custom.itk_intro,
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.itk_spice_h,single_line,🆕 CREATE,—,Truly new (kit-specific consumable detail).
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.itk_spice_sub,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.itk_spice_list,list.single_line,🆕 CREATE,—,"Alternative: reuse `featured_consumables` metaobject (heading, sub_heading, ingredients, category) — one entry per inside-the-kit item."
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.itk_boost_h,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.itk_boost_sub,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.itk_boost_list,list.single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.refill_note_heading,single_line,✏️ RENAME,custom.refill_note_heading,Store has multi_line not single_line — adapt copy to multi_line.
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.refill_note_description,multi_line,✓ KEEP,custom.refill_note_description,
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.refill_cta_label,single_line,✓ KEEP,custom.refill_cta_label,
gutbasket-fermentation-kit-brief.docx,1.12 ITK,custom.refill_cta_url,url,✓ KEEP,custom.refill_cta_url,
gutbasket-fermentation-kit-brief.docx,1.13 Blends,custom.featured_blends,list.metaobject_ref → kit_blend (new),🆕 CREATE,—,"kit_blend metaobject needed (name, sub_line, description, color_var). Alternative: reuse kit_consumable (already has heading, sub_heading, ingredients, category). Recommend: reuse kit_consumable."
gutbasket-fermentation-kit-brief.docx,1.14 ZOE,custom.featured_science_stats,list.metaobject_ref,✓ KEEP,custom.featured_science_stats → kit_science_stat,
gutbasket-fermentation-kit-brief.docx,1.14 ZOE,custom.science_stats_caption,multi_line,✓ KEEP,custom.science_stats_caption,
gutbasket-fermentation-kit-brief.docx,1.14 ZOE,custom.science_stats_disclaimer,multi_line,✓ KEEP,custom.science_stats_disclaimer,
gutbasket-fermentation-kit-brief.docx,1.15 Reviews,custom.reviews_h,single_line,🆕 CREATE,—,Truly new (section heading).
gutbasket-fermentation-kit-brief.docx,1.15 Reviews,custom.featured_reviews,list.metaobject_ref,✓ KEEP,custom.featured_reviews → kit_review,
gutbasket-fermentation-kit-brief.docx,1.16 Eat,custom.eat_h,single_line,🆕 CREATE,—,Truly new.
gutbasket-fermentation-kit-brief.docx,1.16 Eat,custom.featured_consumption_methods,list.metaobject_ref,✓ KEEP,custom.featured_consumption_methods → kit_consumption_method,
gutbasket-fermentation-kit-brief.docx,1.16 Eat,custom.spoons_per_meal,single_line,✏️ RENAME,custom.dosage_amount,Brief itself flagged uncertainty — confirmed: use `dosage_amount`.
gutbasket-fermentation-kit-brief.docx,1.16 Eat,custom.spoons_label,single_line,✏️ RENAME,custom.dosage_label,Use existing `dosage_label`.
gutbasket-fermentation-kit-brief.docx,1.16 Eat,custom.spoons_caption,multi_line,✏️ RENAME,custom.dosage_caption,Use existing `dosage_caption`.
gutbasket-fermentation-kit-brief.docx,1.17 Recipes,custom.recipe_count,number_integer,✓ KEEP,custom.recipe_count,
gutbasket-fermentation-kit-brief.docx,1.17 Recipes,custom.recipe_h_label,single_line,✓ KEEP,custom.recipe_h_label,
gutbasket-fermentation-kit-brief.docx,1.17 Recipes,custom.recipe_h_text,single_line,✓ KEEP,custom.recipe_h_text,
gutbasket-fermentation-kit-brief.docx,1.17 Recipes,custom.recipes_banner_image,file_ref (Image),✏️ RENAME,custom.recipe_banner_image,Singular not plural. Use `recipe_banner_image`.
gutbasket-fermentation-kit-brief.docx,1.17 Recipes,custom.featured_recipe_tags,list.metaobject_ref,✓ KEEP,custom.featured_recipe_tags → kit_recipe_tag,Brief said `list of single line text` — store has it as list.metaobject_reference. Use metaobject.
gutbasket-fermentation-kit-brief.docx,1.18 FAQ,custom.faq_h,single_line,🆕 CREATE,—,
gutbasket-fermentation-kit-brief.docx,1.18 FAQ,custom.featured_faqs,list.metaobject_ref,✓ KEEP,custom.featured_faqs → kit_faq,
gutbasket-fermentation-kit-brief.docx,1.19 Cross-sell,custom.crosssell_h,single_line,🆕 CREATE,—,Optional; theme default may work.
gutbasket-fermentation-kit-brief.docx,1.19 Cross-sell,custom.crosssell_subtitle,multi_line,🆕 CREATE,—,Optional.
gutbasket-fermentation-kit-brief.docx,1.19 Cross-sell,custom.cross_sell_products,list.product_ref,✓ KEEP,custom.cross_sell_products,
gutbasket-fermentation-kit-brief.docx,1.20 SEO,custom.seo_title_override,single_line,✓ KEEP,custom.seo_title_override,
gutbasket-fermentation-kit-brief.docx,1.20 SEO,custom.seo_description_override,multi_line,✓ KEEP,custom.seo_description_override,
gutbasket-spice-refill-brief.docx,1.0 Accent,custom.theme_accent,color,✓ KEEP,custom.theme_accent,
gutbasket-spice-refill-brief.docx,1.0 Accent,custom.theme_accent_dark,color,✓ KEEP,custom.theme_accent_dark,
gutbasket-spice-refill-brief.docx,1.0 Accent,custom.theme_accent_soft,color,✓ KEEP,custom.theme_accent_soft,
gutbasket-spice-refill-brief.docx,1.1 Refill flag,custom.kit_label_format,single_line,✓ KEEP,custom.kit_label_format,
gutbasket-spice-refill-brief.docx,1.1 Refill flag,custom.parent_kit_name,single_line,⚠️ DECISION,custom.companion_size_product,"Store has `companion_size_product` (product_ref, 2 in use). Could derive name from referenced product. Brief's parent_kit_name is a denormalised copy — keep as new if you want a custom display name, else reuse companion_size_product."
gutbasket-spice-refill-brief.docx,1.1 Refill flag,custom.parent_kit_url,url,⚠️ DECISION,custom.companion_size_product,Same as above — derive URL from companion_size_product reference.
gutbasket-spice-refill-brief.docx,1.1 Refill flag,custom.parent_kit_link_text,single_line,🆕 CREATE,—,Truly new (CTA label).
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.short_name,single_line,✓ KEEP,custom.short_name,
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.product_name_short,single_line,✓ KEEP,custom.product_name_short,
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.hero_tagline,multi_line,✓ KEEP,custom.hero_tagline,
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.discount_badge,single_line,✓ KEEP,custom.discount_badge,
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.rating,number_decimal,✓ KEEP,custom.rating,
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.review_count,number_integer,✓ KEEP,custom.review_count,
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.bought_today,number_integer,✓ KEEP,custom.bought_today,
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.batch_makes,single_line,🆕 CREATE,—,Truly new. Alternative: roll into `specs [json]`.
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.cost_savings,single_line,🆕 CREATE,—,Truly new.
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.hero_gallery,list.file_ref,🆕 CREATE,—,
gutbasket-spice-refill-brief.docx,1.2 Hero,custom.hero_gallery_labels,list.single_line,🆕 CREATE,—,
gutbasket-spice-refill-brief.docx,1.3 Benefits,custom.benefits_grid,list.metaobject_ref,🔁 REUSE OBJ,custom.featured_quick_benefits → kit_quick_benefit,Or use parallel-array pattern: benefits_items + benefits_icons (already on every kit).
gutbasket-spice-refill-brief.docx,1.5 Subscribe,custom.sub_offer_title,single_line,🆕 CREATE,—,
gutbasket-spice-refill-brief.docx,1.5 Subscribe,custom.sub_offer_desc,multi_line,🆕 CREATE,—,
