Handle,Title,Type,Tags,Status,Template Suffix,Metafield: gutbasket.tools.category_label [single_line_text_field],Metafield: gutbasket.tools.kit_color [color],Metafield: gutbasket.tools.kit_color_dark [color],Metafield: gutbasket.tools.kit_color_soft [color],Metafield: gutbasket.tools.tagline [single_line_text_field],Metafield: gutbasket.tools.bought_today [number_integer],Metafield: gutbasket.tools.rating [single_line_text_field],Metafield: gutbasket.tools.review_count [number_integer],Metafield: gutbasket.tools.features_h1 [single_line_text_field],Metafield: gutbasket.tools.features_intro [multi_line_text_field],Metafield: gutbasket.tools.features [json],Metafield: gutbasket.tools.feature_icons [list.single_line_text_field],Metafield: gutbasket.tools.specs [json],Metafield: gutbasket.tools.use_cases [json],Metafield: gutbasket.tools.use_case_icons [list.single_line_text_field],Metafield: gutbasket.tools.compatible_with [multi_line_text_field],Metafield: gutbasket.kit_color [color],Metafield: gutbasket.kit_color_dark [color],Metafield: gutbasket.kit_color_soft [color]
a-airlock,Airlock for Safe Fermentation,Jars & Tools,"jars-and-tools, tool",active,jars-tools,TOOL,#15BA97,#0F8C72,#CDEDE3,Lets CO2 out. Keeps oxygen out. The single most important fermentation accessory.,80,4.84,220,NO MORE DAILY BURPING.,"Without an airlock, your jar builds CO2 pressure and you have to burp it daily. With an airlock, the CO2 escapes through a water-sealed valve and oxygen (which causes mould) cant get back in.","[[""CO2 OUT"", ""Fermentation gas escapes through water seal.""], [""OXYGEN BLOCKED"", ""No oxygen in = no mould risk.""], [""NO BURPING"", ""Truly hands-off.""], [""REUSABLE"", ""Lifetime use.""]]","[""💨"", ""🛡️"", ""✋"", ""♻️""]","[[""Includes"", ""2 airlocks + 2 silicone grommets + jar lid""], [""Material"", ""Food-grade silicone + BPA-free plastic""], [""Compatible With"", ""Mason jars + GutBasket fermenter jars""], [""Reusable"", ""Yes — washable, lifetime""], [""Dishwasher Safe"", ""Top rack only""], [""How It Works"", ""CO2 bubbles out, oxygen blocked""]]","[[""VEG FERMENTS"", ""Sauerkraut, kimchi, achaar""], [""DRINKS"", ""Kanji, kombucha second ferment""], [""SOURDOUGH"", ""Bulk ferment + retarding""], [""ANY 1L+ JAR"", ""Universal fit""]]","[""🥬"", ""🍶"", ""🍞"", ""🫙""]",All GutBasket fermenter jars + standard wide-mouth mason jars,#15BA97,#0F8C72,#CDEDE3
a-fermentation-jars,Fermentation Jar with Airlock - 1 Litre,Jar,"jars-and-tools, jar",active,jars-tools,JAR,#4F7C57,#3F6346,#D8E4DC,Smaller version of our hero jar. For single-serving ferments and starter batches.,80,4.84,220,"SOLO FERMENTERS, START HERE.","Single-person households or trial-batch fermenting? The 1L jar is sized for ~600g of vegetables, perfect for one person eating fermented foods daily.","[[""SOLO-SIZED"", ""One person 2-week supply.""], [""SAME QUALITY"", ""Borosilicate glass, same threads as 2L.""], [""AIRLOCK READY"", ""Same airlock and weight as 2L.""], [""TRY-FIRST"", ""Cheaper entry point.""]]","[""👤"", ""💎"", ""△"", ""💸""]","[[""Capacity"", ""1 L (33 fl oz)""], [""Material"", ""Borosilicate glass + BPA-free""], [""Mouth Width"", ""85mm""], [""Compatibility"", ""Standard airlock + glass weight""], [""Dishwasher Safe"", ""Yes""], [""Microwave Safe"", ""Yes (without lid)""]]","[[""SINGLE FERMENTS"", ""~600g veg / 700ml liquid""], [""TRIAL BATCHES"", ""Test recipes before committing""], [""COUPLES"", ""One-week supply for two""], [""STORAGE"", ""Compact fridge storage""]]","[""🥬"", ""🧪"", ""👫"", ""❄️""]",All fermentation kits + works as smaller batch alternative,#4F7C57,#3F6346,#D8E4DC
a-funnel,Funnel,Jars & Tools,"jars-and-tools, tool",active,jars-tools,TOOL,#E66800,#B85100,#FFE2C7,TODO: write a one-line product tagline for Funnel.,25,4.78,80,WHY THIS TOOL.,TODO: write a 1–2 sentence intro for the features grid on Funnel.,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#E66800,#B85100,#FFE2C7
a-glass-weight,Fermentation Glass weight,Fermentation Kits,"jars-and-tools, tool",active,jars-tools,TOOL,#0097B2,#077E94,#C2E5ED,Pushes vegetables under brine. Above brine = mould risk. Glass weight = safe ferment.,80,4.84,220,KEEP VEGGIES UNDER BRINE.,"During fermentation, vegetables float to the top. Anything above the brine line is exposed to air = mould. The glass weight pushes vegetables under.","[[""SUBMERGED"", ""Pushes veggies under brine.""], [""PURE GLASS"", ""No leaching, no rust.""], [""NOTCHED"", ""Easy to lift out.""], [""SET OF 2"", ""One per jar + spare.""]]","[""⚓"", ""💎"", ""🪝"", ""②""]","[[""Pack"", ""2 weights per set""], [""Material"", ""Pure glass, no metal""], [""Diameter"", ""70mm""], [""Compatible With"", ""GutBasket 1L + 2L + mason jars""], [""Dishwasher Safe"", ""Yes""], [""Notch"", ""For easy retrieval""]]","[[""SAUERKRAUT"", ""Submerge cabbage""], [""CARROTS"", ""Hold sticks under brine""], [""PICKLED VEG"", ""Any submerged ferment""], [""GARLIC"", ""Whole-clove fermenting""]]","[""🥬"", ""🥕"", ""🥒"", ""🧄""]",All wide-mouth fermentation jars + 1L and 2L sizes,#0097B2,#077E94,#C2E5ED
a-hydrometer,Triple Scale Hydrometer,Jars & Tools,"jars-and-tools, tester",active,jars-tools,TESTER,#8B1F40,#6E1733,#F4D7DD,TODO: write a one-line product tagline for Triple Scale Hydrometer.,25,4.78,80,WHY THIS TESTER.,TODO: write a 1–2 sentence intro for the features grid on Triple Scale Hydrometer.,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#8B1F40,#6E1733,#F4D7DD
a-mesh-strainer,Mesh Strainer,Jars & Tools,"jars-and-tools, tool",active,jars-tools,TOOL,#E85C41,#B83D26,#FAD3CB,TODO: write a one-line product tagline for Mesh Strainer.,25,4.78,80,WHY THIS TOOL.,TODO: write a 1–2 sentence intro for the features grid on Mesh Strainer.,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#E85C41,#B83D26,#FAD3CB
a-ph-strip,pH strip,Jars & Tools,"jars-and-tools, tester",active,jars-tools,TESTER,#DDA738,#B07F1A,#F5E4B8,TODO: write a one-line product tagline for pH strip.,25,4.78,80,WHY THIS TESTER.,TODO: write a 1–2 sentence intro for the features grid on pH strip.,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#DDA738,#B07F1A,#F5E4B8
a-silicons-bungs,Silicons Bungs,Jars & Tools,"jars-and-tools, part",active,jars-tools,PART,#1F1F1D,#000000,#D5D5D3,TODO: write a one-line product tagline for Silicons Bungs.,25,4.78,80,WHY THIS PART.,TODO: write a 1–2 sentence intro for the features grid on Silicons Bungs.,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#1F1F1D,#000000,#D5D5D3
blue-airtight-glass-bottles-pack-of-4,Airtight glass bottles 1 L,Jars & Tools,"jars-and-tools, bottle",active,jars-tools,BOTTLE,#0097B2,#077E94,#C2E5ED,TODO: write a one-line product tagline for Airtight glass bottles 1 L.,25,4.78,80,WHY THIS BOTTLE.,TODO: write a 1–2 sentence intro for the features grid on Airtight glass bottles 1 L.,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#0097B2,#077E94,#C2E5ED
fermentation-jar-narrow-mouth-hdpe-8-litre,HDPE Plastic Carboy (8 Litre),Jars & Tools,"jars-and-tools, carboy",active,jars-tools,CARBOY,#5C4D3F,#3F342B,#DCD4C7,TODO: write a one-line product tagline for HDPE Plastic Carboy (8 Litre).,25,4.78,80,WHY THIS CARBOY.,TODO: write a 1–2 sentence intro for the features grid on HDPE Plastic Carboy (8 Litre).,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#5C4D3F,#3F342B,#DCD4C7
fermentation-jar-wide-mouth-2-litre,Fermentation Jar with Airlock - 2 Litre - Wide Mouth,Jar,"jars-and-tools, jar",active,jars-tools,JAR,#4F7C57,#3F6346,#D8E4DC,Wide-mouth glass jar with airlock-ready lid. The hero of your fermentation kitchen.,80,4.84,220,BUILT FOR FERMENTATION.,Most jars in your kitchen werent designed for fermentation. This one is. Wide mouth fits chunks. Smooth interior makes cleaning easy.,"[[""WIDE MOUTH"", ""Fits whole vegetables.""], [""BOROSILICATE"", ""Heat-stable, no cracking.""], [""AIRLOCK READY"", ""Standard thread.""], [""LIFETIME"", ""Glass + steel lid.""]]","[""⊕"", ""◇"", ""△"", ""◎""]","[[""Capacity"", ""2 L (66 fl oz)""], [""Material"", ""Borosilicate glass + BPA-free""], [""Mouth Width"", ""90mm""], [""Compatibility"", ""Standard airlock + weight""], [""Dishwasher Safe"", ""Yes""], [""Microwave Safe"", ""Yes (without lid)""]]","[[""FERMENT KITS"", ""Achaar, kanji, kimchi, vegetables""], [""SPROUTING"", ""Mesh-lid swap""], [""PICKLING"", ""Salt-only pickles""], [""STORAGE"", ""Fridge after fermenting""]]","[""🥬"", ""🌱"", ""🥒"", ""❄️""]",Probiotic Achaar Kit + Kanji Making Kit + Aam Panna Kit + Vegetable Fermentation Kit + Kimchi Making Kit,#4F7C57,#3F6346,#D8E4DC
fermentation-jar-wide-mouth-4-litre,Fermentation Jar with Airlock - 4 Litre - Wide Mouth,Jar,"jars-and-tools, jar",active,jars-tools,JAR,#4F7C57,#3F6346,#D8E4DC,Family-size wide-mouth glass jar with airlock-ready lid. The hero of bigger ferments.,80,4.84,220,BUILT FOR FERMENTATION.,"Same wide-mouth borosilicate design as the 2L, doubled in capacity for family-size batches and brewing.","[[""WIDE MOUTH"", ""Fits whole vegetables.""], [""BOROSILICATE"", ""Heat-stable.""], [""AIRLOCK READY"", ""Standard thread.""], [""LIFETIME"", ""Glass + steel lid.""]]","[""⊕"", ""◇"", ""△"", ""◎""]","[[""Capacity"", ""4 L (135 fl oz)""], [""Material"", ""Borosilicate glass + BPA-free""], [""Mouth Width"", ""110mm""], [""Compatibility"", ""Standard airlock + weight""], [""Dishwasher Safe"", ""Yes""], [""Microwave Safe"", ""Yes (without lid)""]]","[[""BIG FERMENTS"", ""2-week supply for family""], [""BREWING"", ""Kombucha, jun, ginger beer""], [""BULK PICKLING"", ""Whole-vegetable preserves""], [""STORAGE"", ""Pantry-stable batches""]]","[""🥬"", ""🍵"", ""🥒"", ""❄️""]",Probiotic Achaar Kit + Kanji Making Kit + Vegetable Fermentation Kit + Kimchi Making Kit,#4F7C57,#3F6346,#D8E4DC
glass-carboy-4-litre,Fermentation Glass Carboy -Amber (4 Litre),Jars & Tools,"jars-and-tools, carboy",active,jars-tools,CARBOY,#6E3A1F,#4F2916,#E8D5C4,TODO: write a one-line product tagline for Fermentation Glass Carboy -Amber (4 Litre).,25,4.78,80,WHY THIS CARBOY.,TODO: write a 1–2 sentence intro for the features grid on Fermentation Glass Carboy -Amber (4 Litre).,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#6E3A1F,#4F2916,#E8D5C4
grommet-washer-for-fermentation-lid-set-of-3,Grommet/ Washer for fermentation lid ( Set of 3 ),Jars & Tools,"jars-and-tools, part",active,jars-tools,PART,#1F1F1D,#000000,#D5D5D3,TODO: write a one-line product tagline for Grommet/ Washer for fermentation lid ( Set of 3 ).,25,4.78,80,WHY THIS PART.,TODO: write a 1–2 sentence intro for the features grid on Grommet/ Washer for fermentation lid ( Set of 3 ).,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#1F1F1D,#000000,#D5D5D3
kombucha-jar,Kombucha Glass Jar 4 L,Jars & Tools,"jars-and-tools, jar",active,jars-tools,JAR,#A88554,#7E6340,#E8DAC4,TODO: write a one-line product tagline for Kombucha Glass Jar 4 L.,25,4.78,80,WHY THIS JAR.,TODO: write a 1–2 sentence intro for the features grid on Kombucha Glass Jar 4 L.,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#A88554,#7E6340,#E8DAC4
kombucha-jar-5-6l-with-tap-and-steel-stand,Kombucha Jar 4 L - With Tap And Steel Stand,Jars & Tools,"jars-and-tools, jar",active,jars-tools,JAR,#A88554,#7E6340,#E8DAC4,TODO: write a one-line product tagline for Kombucha Jar 4 L - With Tap And Steel Stand.,25,4.78,80,WHY THIS JAR.,TODO: write a 1–2 sentence intro for the features grid on Kombucha Jar 4 L - With Tap And Steel Stand.,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#A88554,#7E6340,#E8DAC4
pipette-1,Pipette (Pack of 5),Jars & Tools,"jars-and-tools, tester",active,jars-tools,TESTER,#5DBC52,#459338,#D7F0D2,TODO: write a one-line product tagline for Pipette (Pack of 5).,25,4.78,80,WHY THIS TESTER.,TODO: write a 1–2 sentence intro for the features grid on Pipette (Pack of 5).,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#5DBC52,#459338,#D7F0D2
stick-on-thermometer-strip-1,Temperature Strip for brewing Kombucha or Beer,Jars & Tools,"jars-and-tools, tester",active,jars-tools,TESTER,#15BA97,#0F8C72,#CDEDE3,TODO: write a one-line product tagline for Temperature Strip for brewing Kombucha or Beer.,25,4.78,80,WHY THIS TESTER.,TODO: write a 1–2 sentence intro for the features grid on Temperature Strip for brewing Kombucha or Beer.,"[[""FEATURE 1"", ""TODO: short benefit.""], [""FEATURE 2"", ""TODO: short benefit.""], [""FEATURE 3"", ""TODO: short benefit.""], [""FEATURE 4"", ""TODO: short benefit.""]]","[""◇"", ""◆"", ""△"", ""◎""]","[[""Material"", ""TODO""], [""Dimensions"", ""TODO""], [""Compatible With"", ""TODO""], [""Dishwasher Safe"", ""TODO""], [""Reusable"", ""TODO""], [""Notes"", ""TODO""]]","[[""USE 1"", ""TODO""], [""USE 2"", ""TODO""], [""USE 3"", ""TODO""], [""USE 4"", ""TODO""]]","[""🫙"", ""🧪"", ""🥬"", ""♻️""]",TODO: list compatible kits / jars.,#15BA97,#0F8C72,#CDEDE3
